mRNA,SRR6408214,SRR6408215,SRR6408216
mRNA264,918,1509,1456
mRNA265,918,1509,1456
mRNA266,918,1509,1456
mRNA267,873,1496,1400
mRNA268,907,1505,1439
mRNA269,918,1509,1455
mRNA270,918,1509,1454
mRNA271,0,0,0
mRNA272,0,0,0
mRNA273,0,0,0
mRNA274,4,0,0
mRNA275,1,0,1
mRNA276,1,0,1
mRNA277,1,0,1
mRNA278,1,0,1
mRNA279,0,0,1
mRNA280,0,0,1
mRNA281,0,0,1
mRNA282,0,0,0
mRNA283,0,0,0
mRNA284,0,0,0
mRNA285,0,0,0
mRNA286,28,492,319
mRNA287,28,492,319
mRNA288,1,317,62
mRNA289,1,317,62
mRNA290,1,150,52
mRNA291,0,150,52
mRNA292,1,317,62
mRNA293,1,317,62
mRNA294,1,317,62
mRNA295,1,317,62
mRNA296,28,492,319
mRNA297,28,492,319
mRNA298,28,492,319
mRNA299,28,492,319
mRNA300,1,317,62
mRNA301,28,492,319
mRNA302,28,492,319
mRNA303,28,492,319
mRNA304,1,317,62
mRNA305,1,317,62
mRNA306,1,317,62
mRNA307,28,468,268
mRNA308,1,293,11
mRNA309,1,293,11
mRNA310,1,272,11
mRNA311,455,602,1332
mRNA312,28,175,295
mRNA313,28,175,295
mRNA314,468,602,1332
mRNA315,455,602,1332
mRNA316,455,602,1332
mRNA317,455,602,1332
mRNA318,455,602,1332
mRNA319,440,427,1047
mRNA320,440,427,1037
mRNA321,440,427,1037
mRNA322,437,427,1037
mRNA323,429,427,1037
mRNA324,427,427,1037
mRNA325,427,427,1037
mRNA326,427,427,1037
mRNA327,427,427,1037
mRNA328,427,427,1037
mRNA329,326,284,759
mRNA330,0,327,1
mRNA331,0,327,1
mRNA332,0,27,1
mRNA333,0,27,1
mRNA334,61,6,19
mRNA335,61,0,15
mRNA336,2204,2483,1218
mRNA337,43,0,345
mRNA338,43,0,345
mRNA339,43,0,345
mRNA340,43,0,345
mRNA341,43,0,345
mRNA342,1,0,137
mRNA343,0,0,6
mRNA344,0,0,6
mRNA345,0,0,6
mRNA346,0,0,6
mRNA347,0,0,6
mRNA348,0,0,6
mRNA349,0,0,6
mRNA350,0,0,6
mRNA351,0,0,0
mRNA352,0,0,0
mRNA353,0,0,0
mRNA354,0,0,0
mRNA355,0,0,0
mRNA356,0,0,0
mRNA357,0,0,0
mRNA358,0,0,0
mRNA359,0,0,0
mRNA360,0,0,0
mRNA361,0,0,273
mRNA362,0,0,273
mRNA363,0,0,273
mRNA364,0,0,269
mRNA365,0,0,189
mRNA366,0,0,189
mRNA367,0,0,55
mRNA368,0,0,55
mRNA369,0,0,55
mRNA370,0,0,55
mRNA371,0,0,55
mRNA372,0,0,55
mRNA373,0,0,55
mRNA374,0,0,55
mRNA375,0,0,54
mRNA376,0,0,54
mRNA377,0,0,54
mRNA378,0,0,54
mRNA379,0,0,54
mRNA380,0,0,54
mRNA381,0,0,54
mRNA382,0,0,54
mRNA383,0,0,0
mRNA384,0,0,0
mRNA385,0,0,0
mRNA386,0,0,4
mRNA387,0,0,4
mRNA388,0,0,0
mRNA389,0,0,0
mRNA390,0,0,0
mRNA391,0,0,0
mRNA392,0,0,0
mRNA393,0,0,0
mRNA394,0,0,1
mRNA395,0,0,1
mRNA396,0,0,1
mRNA397,0,0,1
mRNA398,0,0,0
mRNA399,0,0,0
mRNA400,0,0,1
mRNA401,17,0,58
mRNA402,7,642,642
mRNA403,7,642,642
mRNA404,7,642,643
mRNA405,0,0,0
mRNA406,0,0,0
mRNA407,0,0,0
mRNA408,0,0,0
mRNA409,0,0,0
mRNA410,0,0,0
mRNA411,0,0,0
mRNA412,0,0,0
mRNA413,0,0,0
mRNA414,0,0,0
mRNA415,0,0,0
mRNA416,0,0,0
mRNA417,0,0,0
mRNA418,0,0,0
mRNA419,0,0,0
mRNA420,0,0,0
mRNA421,0,0,0
mRNA422,0,0,0
mRNA423,0,0,0
mRNA424,0,0,0
mRNA425,0,0,76
mRNA426,0,0,76
mRNA427,0,0,76
mRNA428,0,0,76
mRNA429,0,0,368
mRNA430,0,0,129
mRNA431,0,0,92
mRNA432,0,0,128
mRNA433,0,0,128
mRNA434,0,0,128
mRNA435,0,0,128
mRNA436,0,0,91
mRNA437,0,0,91
mRNA438,0,0,91
mRNA439,0,0,91
mRNA440,0,0,90
mRNA441,0,56,2
mRNA442,0,56,2
mRNA443,0,0,0
mRNA444,0,56,2
mRNA445,0,56,2
mRNA446,0,56,2
mRNA447,0,56,2
mRNA448,0,56,2
mRNA449,104,522,207
mRNA450,104,522,207
mRNA451,104,496,190
mRNA452,0,0,1
mRNA453,0,0,1
mRNA454,0,0,1
mRNA455,0,0,0
mRNA456,1,408,0
mRNA457,1,408,0
mRNA458,1,408,0
mRNA459,1,408,0
mRNA460,1,408,0
mRNA461,1,408,0
mRNA462,1,408,0
mRNA463,1,408,0
mRNA464,1,408,0
mRNA465,1,408,0
mRNA466,1,408,0
mRNA467,1,408,0
mRNA468,1,408,0
mRNA469,1,408,0
mRNA470,1,408,0
mRNA471,1,408,0
mRNA472,0,154,0
mRNA473,0,0,0
mRNA474,136,783,901
mRNA475,98,202,651
mRNA476,136,783,901
mRNA477,136,783,901
mRNA478,131,782,891
mRNA479,131,782,891
mRNA480,93,201,641
mRNA481,131,782,891
mRNA482,131,782,891
mRNA483,125,769,865
mRNA484,103,763,739
mRNA485,103,763,739
mRNA486,103,763,739
mRNA487,0,0,1
mRNA488,61,175,85
mRNA489,6,0,11
mRNA490,6,0,11
mRNA491,6,0,11
mRNA492,248,0,209
mRNA493,241,0,168
mRNA494,0,0,0
mRNA495,0,4,4
mRNA496,0,4,4
mRNA497,0,3,1
mRNA498,0,1,3
mRNA499,1170,2736,2895
mRNA500,1136,2674,2701
mRNA501,1136,2512,2661
mRNA502,1136,2512,2661
mRNA503,0,0,0
mRNA504,7,0,0
mRNA505,7,0,0
mRNA506,7,0,0
mRNA507,7,0,0
mRNA508,2,0,0
mRNA509,2,0,0
mRNA510,2,0,0
mRNA511,2,0,0
mRNA512,1,0,0
mRNA513,2,0,0
mRNA514,0,0,0
mRNA515,0,0,0
mRNA516,0,0,0
mRNA517,0,0,0
mRNA518,0,0,0
mRNA519,0,0,0
mRNA520,0,0,0
mRNA521,0,0,1
mRNA522,0,0,1
mRNA523,0,0,1
mRNA524,0,0,1
mRNA525,1,0,1
mRNA526,1,0,1
mRNA527,1,0,1
mRNA528,0,0,1
mRNA529,202,602,48
mRNA530,87,594,28
mRNA531,87,584,26
mRNA532,87,558,19
mRNA533,87,456,15
mRNA534,0,117,16
mRNA535,0,0,1
mRNA536,0,0,1
mRNA537,0,0,1
mRNA538,0,0,1
mRNA539,0,0,1
mRNA540,0,0,1
mRNA541,0,0,0
mRNA542,0,0,0
mRNA543,0,0,0
mRNA544,0,0,0
mRNA545,0,0,0
mRNA546,0,0,0
mRNA547,0,0,0
mRNA548,0,0,0
mRNA549,1,0,118
mRNA550,1,0,118
mRNA551,35,0,1
mRNA552,35,0,1
mRNA553,0,336,177
mRNA554,5,336,209
mRNA555,0,336,177
mRNA556,5,331,574
mRNA557,0,331,177
mRNA558,0,331,177
mRNA559,5,311,203
mRNA560,19,0,572
mRNA561,19,0,572
mRNA562,269,162,224
mRNA563,269,162,224
mRNA564,269,162,224
mRNA565,269,162,224
mRNA566,269,162,224
mRNA567,268,157,220
mRNA568,193,157,101
mRNA569,193,157,101
mRNA570,269,162,224
mRNA571,269,162,224
mRNA572,269,162,224
mRNA573,269,162,224
mRNA574,269,162,224
mRNA575,269,162,224
mRNA576,269,162,224
mRNA577,269,162,224
mRNA578,269,162,224
mRNA579,269,161,224
mRNA580,269,161,224
mRNA581,269,161,222
mRNA582,193,157,101
mRNA583,0,1,0
mRNA584,0,1,0
mRNA585,0,1,0
mRNA586,0,1,0
mRNA587,0,1,0
mRNA588,0,1,0
mRNA589,0,1,0
mRNA590,0,1,0
mRNA591,0,1,0
mRNA592,0,1,0
mRNA593,0,1,0
mRNA594,0,1,0
mRNA595,0,1,0
mRNA596,0,1,0
mRNA597,0,1,0
mRNA598,0,1,0
mRNA599,0,1,0
mRNA600,0,1,0
mRNA601,0,1,0
mRNA602,0,1,0
mRNA603,0,1,0
mRNA604,0,1,0
mRNA605,34,117,41
mRNA606,308,988,201
mRNA607,0,0,70
mRNA608,0,0,70
mRNA609,0,0,70
mRNA610,0,0,70
mRNA611,0,0,70
mRNA612,0,0,70
mRNA613,0,1,95
mRNA614,0,1,95
mRNA615,0,1,95
mRNA616,0,1,95
mRNA617,0,1,95
mRNA618,0,1,95
mRNA619,0,1,95
mRNA620,0,0,70
mRNA621,0,0,70
mRNA622,0,0,70
mRNA623,0,0,70
mRNA624,0,0,70
mRNA625,0,0,70
mRNA626,0,0,70
mRNA627,0,0,70
mRNA628,0,0,70
mRNA629,0,1,95
mRNA630,0,0,70
mRNA631,0,0,70
mRNA632,0,0,70
mRNA633,0,0,70
mRNA634,0,0,1
mRNA635,0,0,1
mRNA636,0,0,0
mRNA637,0,0,0
