mRNA,SRR6408214,SRR6408215,SRR6408216
mRNA35489,0,1,1
mRNA35490,0,0,1
mRNA35491,0,0,1
mRNA35492,0,0,1
mRNA35493,0,0,1
mRNA35494,0,0,1
mRNA35495,0,0,0
mRNA35496,5,1842,556
mRNA35497,5,1842,556
mRNA35498,5,1842,556
mRNA35499,5,1842,556
mRNA35500,5,1842,556
mRNA35501,5,1842,556
mRNA35502,1,861,125
mRNA35503,5,1842,556
mRNA35504,5,1842,556
mRNA35505,5,1842,556
mRNA35506,5,1842,556
mRNA35507,5,1842,556
mRNA35508,5,1842,556
mRNA35509,5,1842,556
mRNA35510,5,1842,556
mRNA35511,5,1842,556
mRNA35512,1,861,125
mRNA35513,1,861,125
mRNA35514,1,861,125
mRNA35515,2,209,39
mRNA35516,2,209,39
mRNA35517,1,0,0
mRNA35518,1,0,0
mRNA35519,1,0,0
mRNA35520,1,0,0
mRNA35521,1,0,0
mRNA35522,1107,3990,3242
mRNA35523,1107,3990,3242
mRNA35524,1107,3990,3242
mRNA35525,46,0,128
mRNA35526,46,0,128
mRNA35527,0,0,3
mRNA35528,0,0,0
mRNA35529,0,0,0
mRNA35530,0,0,3
mRNA35531,0,0,3
mRNA35532,0,0,0
mRNA35533,0,0,3
mRNA35534,0,0,3
mRNA35535,0,0,3
mRNA35536,0,0,3
mRNA35537,0,0,0
mRNA35538,0,0,3
mRNA35539,0,0,3
mRNA35540,120,220,34
mRNA35541,122,698,29
mRNA35542,122,698,29
mRNA35543,122,672,29
mRNA35544,122,698,29
mRNA35545,122,698,29
mRNA35546,122,672,29
mRNA35547,122,672,29
mRNA35548,122,672,29
mRNA35549,0,0,0
mRNA35550,0,0,7
mRNA35551,0,0,0
mRNA35552,0,0,7
mRNA35553,0,0,7
mRNA35554,0,0,7
mRNA35555,0,0,7
mRNA35556,0,0,0
mRNA35557,0,0,0
mRNA35558,198,0,194
mRNA35559,198,0,194
mRNA35560,204,0,196
mRNA35561,204,0,196
mRNA35562,204,0,196
mRNA35563,204,0,196
mRNA35564,204,0,196
mRNA35565,204,0,196
mRNA35566,204,0,196
mRNA35567,204,0,196
mRNA35568,204,0,196
mRNA35569,204,0,196
mRNA35570,204,0,196
mRNA35571,162,0,133
mRNA35572,143,0,121
mRNA35573,143,0,121
mRNA35574,143,0,121
mRNA35575,143,0,121
mRNA35576,143,0,121
mRNA35577,143,0,121
mRNA35578,119,0,244
mRNA35579,119,0,244
mRNA35580,115,0,224
mRNA35581,0,0,1
mRNA35582,1,506,157
mRNA35583,1,506,157
mRNA35584,0,0,2
mRNA35585,0,0,2
mRNA35586,0,0,2
mRNA35587,0,0,0
mRNA35588,0,0,2
mRNA35589,0,0,1
mRNA35590,0,0,2
mRNA35591,0,0,2
mRNA35592,0,0,0
mRNA35593,0,0,0
mRNA35594,0,0,0
mRNA35595,0,0,0
mRNA35596,0,0,0
mRNA35597,1,0,1
mRNA35598,1,0,1
mRNA35599,1,0,1
mRNA35600,1,0,1
mRNA35601,1,0,1
mRNA35602,1,0,1
mRNA35603,1,0,1
mRNA35604,1,0,1
mRNA35605,1,0,1
mRNA35606,1,0,1
mRNA35607,1,0,1
mRNA35608,1,0,1
mRNA35609,1,0,1
mRNA35610,1,0,1
mRNA35611,1,0,1
mRNA35612,1,0,1
mRNA35613,1,0,1
mRNA35614,1,0,1
mRNA35615,1,0,1
mRNA35616,1,0,1
mRNA35617,1,0,1
mRNA35618,1,0,1
mRNA35619,1,0,1
mRNA35620,1,0,1
mRNA35621,1,0,1
mRNA35622,1,0,1
mRNA35623,1,0,0
mRNA35624,1,0,0
mRNA35625,0,0,0
mRNA35626,0,0,0
mRNA35627,0,0,0
mRNA35628,0,0,0
mRNA35629,0,0,0
mRNA35630,0,0,0
mRNA35631,3642,1020,2050
mRNA35632,3642,1020,2050
mRNA35633,3642,1020,2050
mRNA35634,1261,7201,6110
mRNA35635,1238,3035,527
mRNA35636,1238,3035,527
mRNA35637,1,47,9
mRNA35638,1,47,9
mRNA35639,1,47,9
mRNA35640,0,0,0
mRNA35641,0,0,0
mRNA35642,0,0,1
mRNA35643,0,0,1
mRNA35644,0,0,1
mRNA35645,0,0,1
mRNA35646,0,0,1
mRNA35647,0,0,1
mRNA35648,0,0,1
mRNA35649,0,0,1
mRNA35650,0,0,1
mRNA35651,0,0,1
mRNA35652,0,0,1
mRNA35653,64,0,25
mRNA35654,64,0,25
mRNA35655,64,0,25
mRNA35656,64,0,25
mRNA35657,64,0,13
mRNA35658,64,0,13
mRNA35659,64,0,13
mRNA35660,64,0,11
mRNA35661,64,0,11
mRNA35662,64,0,11
mRNA35663,231,0,10
mRNA35664,231,0,10
mRNA35665,231,0,10
mRNA35666,24,465,53
mRNA35667,1,3,27
mRNA35668,1,3,27
mRNA35669,1,3,27
mRNA35670,0,0,0
mRNA35671,0,0,0
mRNA35672,77,455,380
mRNA35673,77,455,380
mRNA35674,77,455,380
mRNA35675,77,455,380
mRNA35676,77,455,378
mRNA35677,77,455,378
mRNA35678,77,455,378
mRNA35679,77,455,377
mRNA35680,77,454,377
mRNA35681,77,454,377
mRNA35682,77,451,377
mRNA35683,77,451,377
mRNA35684,77,449,377
mRNA35685,77,449,377
mRNA35686,17,449,376
mRNA35687,10,76,53
mRNA35688,0,0,0
mRNA35689,0,0,0
mRNA35690,47,1201,132
mRNA35691,47,1201,132
mRNA35692,47,1201,132
mRNA35693,47,1201,132
mRNA35694,47,1201,132
mRNA35695,47,1201,132
mRNA35696,47,1201,132
mRNA35697,47,1158,132
mRNA35698,47,1153,132
mRNA35699,47,1153,132
mRNA35700,47,1140,132
mRNA35701,47,1140,132
mRNA35702,47,1140,132
mRNA35703,47,1140,132
mRNA35704,47,1140,132
mRNA35705,47,1140,132
mRNA35706,47,1140,132
mRNA35707,47,1140,132
mRNA35708,47,1140,132
mRNA35709,47,1140,132
mRNA35710,47,1140,132
mRNA35711,47,1078,109
mRNA35712,47,1078,109
mRNA35713,130,0,24
mRNA35714,130,0,24
mRNA35715,370,1462,158
mRNA35716,370,1462,158
mRNA35717,68,0,35
mRNA35718,6,3,4
mRNA35719,6,3,1
mRNA35720,6,3,1
mRNA35721,6,2,0
mRNA35722,6,2,0
mRNA35723,6,2,0
mRNA35724,6,2,0
mRNA35725,6,2,0
mRNA35726,5,26,22
mRNA35727,0,0,0
mRNA35728,0,0,0
mRNA35729,0,0,0
mRNA35730,0,0,0
mRNA35731,0,0,0
mRNA35732,0,0,0
mRNA35733,0,0,0
mRNA35734,0,0,0
mRNA35735,0,0,0
mRNA35736,0,0,0
mRNA35737,0,0,0
mRNA35738,0,0,0
mRNA35739,0,0,0
mRNA35740,0,0,0
mRNA35741,0,0,0
mRNA35742,0,0,1
mRNA35743,25,79,0
mRNA35744,25,75,0
mRNA35745,0,0,0
mRNA35746,0,0,0
mRNA35747,0,0,0
mRNA35748,1,0,7
mRNA35749,1,0,7
mRNA35750,1,0,7
mRNA35751,1,0,7
mRNA35752,1,0,7
mRNA35753,1,0,7
mRNA35754,1,0,7
mRNA35755,0,0,0
mRNA35756,0,0,0
mRNA35757,0,0,0
mRNA35758,0,0,0
mRNA35759,0,0,0
mRNA35760,89,0,0
mRNA35761,50,0,0
mRNA35762,0,0,0
mRNA35763,0,0,0
mRNA35764,0,0,0
mRNA35765,0,0,0
mRNA35766,0,0,0
mRNA35767,0,0,0
mRNA35768,2,0,51
mRNA35769,2,0,51
mRNA35770,2,0,51
mRNA35771,2,0,28
mRNA35772,2,0,28
mRNA35773,0,0,0
mRNA35774,1,141,235
mRNA35775,1,141,235
mRNA35776,1,141,235
mRNA35777,1,141,235
mRNA35778,1,139,220
mRNA35779,1,139,124
mRNA35780,242,6,302
mRNA35781,243,8,431
mRNA35782,243,8,431
mRNA35783,243,8,431
mRNA35784,243,8,431
mRNA35785,243,8,431
mRNA35786,243,8,431
mRNA35787,243,8,431
mRNA35788,243,8,431
mRNA35789,243,8,431
mRNA35790,243,8,431
mRNA35791,242,6,424
mRNA35792,242,6,408
mRNA35793,242,6,408
mRNA35794,242,6,408
mRNA35795,242,6,408
mRNA35796,236,4,391
mRNA35797,236,4,382
mRNA35798,236,4,382
mRNA35799,236,4,382
mRNA35800,236,4,382
mRNA35801,236,4,375
mRNA35802,236,4,375
mRNA35803,236,4,375
mRNA35804,236,4,375
mRNA35805,236,4,366
mRNA35806,236,4,260
mRNA35807,183,4,166
mRNA35808,25,0,133
mRNA35809,218,4,261
mRNA35810,218,4,261
mRNA35811,67,14,194
mRNA35812,67,14,191
mRNA35813,47,3,72
mRNA35814,47,3,52
mRNA35815,47,3,52
mRNA35816,47,3,52
mRNA35817,47,3,52
mRNA35818,154,397,39
mRNA35819,0,0,0
mRNA35820,846,1024,719
mRNA35821,846,1024,719
mRNA35822,846,1024,719
mRNA35823,846,1023,719
mRNA35824,0,0,1
mRNA35825,0,0,1
mRNA35826,0,0,0
mRNA35827,392,523,125
mRNA35828,392,523,125
mRNA35829,182,1036,81
mRNA35830,133,992,72
mRNA35831,34,866,38
mRNA35832,34,866,38
mRNA35833,36,866,38
mRNA35834,36,866,38
mRNA35835,36,866,38
mRNA35836,36,866,38
mRNA35837,36,866,38
mRNA35838,36,675,38
mRNA35839,36,675,38
mRNA35840,36,675,38
mRNA35841,34,675,38
mRNA35842,23,578,28
mRNA35843,23,578,25
mRNA35844,0,0,0
mRNA35845,0,0,0
mRNA35846,0,0,0
mRNA35847,97,484,510
mRNA35848,97,484,510
mRNA35849,97,490,510
mRNA35850,97,488,510
mRNA35851,80,453,363
mRNA35852,80,453,360
mRNA35853,76,438,211
mRNA35854,0,0,1
mRNA35855,0,0,1
mRNA35856,0,0,1
mRNA35857,0,0,1
mRNA35858,0,0,1
mRNA35859,0,483,0
mRNA35860,0,483,0
mRNA35861,164,2129,188
mRNA35862,164,2129,188
mRNA35863,164,2129,188
mRNA35864,164,2129,188
mRNA35865,164,2129,188
mRNA35866,164,2129,188
mRNA35867,164,2129,188
mRNA35868,134,1844,180
mRNA35869,938,665,663
mRNA35870,938,665,662
mRNA35871,890,627,633
mRNA35872,890,627,633
mRNA35873,3,0,1
mRNA35874,3,0,1
mRNA35875,3,0,1
mRNA35876,3,0,1
mRNA35877,3,0,1
mRNA35878,3,0,1
mRNA35879,3,0,1
mRNA35880,3,0,1
mRNA35881,2,0,1
mRNA35882,1,0,0
mRNA35883,1,0,0
mRNA35884,1,0,0
mRNA35885,0,0,0
mRNA35886,1,0,5
mRNA35887,1,0,5
mRNA35888,1,0,5
mRNA35889,0,0,0
mRNA35890,0,0,0
mRNA35891,0,0,0
mRNA35892,0,0,0
mRNA35893,0,0,0
mRNA35894,0,0,0
mRNA35895,0,1,0
mRNA35896,0,1,0
mRNA35897,0,1,0
mRNA35898,0,1,0
mRNA35899,0,1,0
mRNA35900,0,1,0
mRNA35901,0,1,0
mRNA35902,0,1,0
mRNA35903,0,1,0
mRNA35904,0,1,0
mRNA35905,0,1,0
mRNA35906,0,1,0
mRNA35907,0,1,0
mRNA35908,0,1,0
mRNA35909,0,1,0
mRNA35910,148,290,88
mRNA35911,148,290,88
mRNA35912,148,290,88
mRNA35913,148,290,88
mRNA35914,148,290,88
mRNA35915,148,290,88
mRNA35916,148,290,88
mRNA35917,148,290,88
mRNA35918,148,290,88
mRNA35919,139,188,129
mRNA35920,139,188,129
mRNA35921,605,0,72
mRNA35922,605,0,72
mRNA35923,605,0,72
mRNA35924,605,0,72
mRNA35925,81,658,102
mRNA35926,81,658,102
mRNA35927,6,3,21
mRNA35928,6,3,21
mRNA35929,6,3,21
mRNA35930,6,3,21
mRNA35931,6,3,21
mRNA35932,6,3,21
mRNA35933,6,3,18
mRNA35934,5,1,14
mRNA35935,5,1,14
mRNA35936,5,1,14
mRNA35937,3,1,13
mRNA35938,3,1,13
mRNA35939,3,1,13
mRNA35940,3,1,13
mRNA35941,3,1,12
mRNA35942,2,1,12
mRNA35943,118,0,103
mRNA35944,118,0,103
mRNA35945,118,0,103
mRNA35946,118,0,103
mRNA35947,118,0,103
mRNA35948,118,0,103
mRNA35949,118,0,103
mRNA35950,118,0,103
mRNA35951,118,0,103
mRNA35952,118,0,103
mRNA35953,118,0,103
mRNA35954,118,0,103
mRNA35955,118,0,103
mRNA35956,118,0,103
mRNA35957,392,535,412
mRNA35958,0,0,0
mRNA35959,16,0,31
mRNA35960,1,15,2
mRNA35961,1,15,2
mRNA35962,1,1,2
mRNA35963,93,1,0
mRNA35964,93,1,0
mRNA35965,93,1,0
mRNA35966,126,1,0
mRNA35967,126,1,0
mRNA35968,126,1,0
mRNA35969,126,1,0
mRNA35970,125,1,0
mRNA35971,125,1,0
mRNA35972,2,0,1
mRNA35973,2,0,1
mRNA35974,2,0,1
mRNA35975,2,0,1
mRNA35976,2,0,1
mRNA35977,0,0,0
mRNA35978,0,0,0
mRNA35979,2,0,2
mRNA35980,0,0,0
mRNA35981,0,0,0
mRNA35982,0,0,0
mRNA35983,0,0,0
mRNA35984,0,0,0
mRNA35985,1,0,0
mRNA35986,1,0,0
mRNA35987,1,0,0
mRNA35988,1,0,0
mRNA35989,1,0,0
mRNA35990,0,0,0
mRNA35991,0,0,1
mRNA35992,0,0,1
mRNA35993,0,0,1
mRNA35994,0,0,0
mRNA35995,0,0,0
mRNA35996,0,0,0
mRNA35997,0,0,0
mRNA35998,0,0,1
mRNA35999,0,0,1
mRNA36000,0,0,1
mRNA36001,0,0,1
mRNA36002,0,0,1
mRNA36003,1,42,15
mRNA36004,1,42,15
mRNA36005,1,42,15
mRNA36006,1,42,15
mRNA36007,1,42,15
mRNA36008,1,42,15
mRNA36009,1,41,2
mRNA36010,1,41,2
mRNA36011,1,30,1
mRNA36012,1,29,0
mRNA36013,1,28,0
mRNA36014,1,28,0
mRNA36015,1,42,15
mRNA36016,1,14,15
mRNA36017,0,13,15
mRNA36018,0,0,0
mRNA36019,1160,1799,817
mRNA36020,1160,1799,817
mRNA36021,1160,1799,817
mRNA36022,1160,1799,817
mRNA36023,1160,1799,817
mRNA36024,864,1339,575
mRNA36025,864,1339,575
mRNA36026,0,0,2
mRNA36027,0,0,0
mRNA36028,0,0,0
mRNA36029,0,0,0
mRNA36030,0,0,0
mRNA36031,33,0,171
mRNA36032,33,0,171
mRNA36033,33,0,171
mRNA36034,33,0,171
mRNA36035,33,0,171
mRNA36036,33,0,171
mRNA36037,33,0,171
mRNA36038,33,0,171
mRNA36039,33,0,171
mRNA36040,33,0,171
mRNA36041,23,0,138
mRNA36042,23,0,138
mRNA36043,139,439,679
mRNA36044,146,460,679
mRNA36045,0,0,0
mRNA36046,246,0,38
mRNA36047,223,0,36
mRNA36048,246,0,38
mRNA36049,1,0,0
mRNA36050,1,0,0
mRNA36051,1,0,0
mRNA36052,96,628,394
mRNA36053,96,628,394
mRNA36054,96,628,394
mRNA36055,123,0,3
mRNA36056,6,1,0
mRNA36057,6,1,0
mRNA36058,5,1,0
mRNA36059,5,1,0
mRNA36060,5,1,0
mRNA36061,6,1,0
mRNA36062,112,96,165
mRNA36063,112,96,165
mRNA36064,112,96,165
mRNA36065,112,96,165
mRNA36066,112,96,165
mRNA36067,112,96,165
mRNA36068,112,96,165
mRNA36069,778,359,464
mRNA36070,3,0,103
mRNA36071,3,0,103
mRNA36072,3,0,103
mRNA36073,3,0,64
mRNA36074,3,0,64
mRNA36075,3,0,90
mRNA36076,0,638,2
mRNA36077,0,385,1
mRNA36078,0,638,2
mRNA36079,0,638,2
mRNA36080,0,638,2
mRNA36081,0,638,2
mRNA36082,0,217,0
mRNA36083,0,217,0
mRNA36084,0,217,0
mRNA36085,0,0,0
mRNA36086,0,26,5
mRNA36087,94,0,89
mRNA36088,94,0,89
mRNA36089,94,0,89
mRNA36090,77,20,19
mRNA36091,0,0,0
mRNA36092,0,0,0
mRNA36093,77,20,19
mRNA36094,77,20,19
mRNA36095,77,20,19
mRNA36096,77,20,19
mRNA36097,77,20,19
mRNA36098,0,0,0
mRNA36099,0,0,0
mRNA36100,0,0,0
mRNA36101,0,0,0
mRNA36102,0,0,0
mRNA36103,0,0,0
mRNA36104,0,0,0
mRNA36105,729,609,188
mRNA36106,729,609,188
mRNA36107,729,609,188
mRNA36108,729,609,188
mRNA36109,729,609,188
mRNA36110,729,609,188
mRNA36111,457,263,96
mRNA36112,3,0,0
mRNA36113,3,0,0
mRNA36114,3,0,0
mRNA36115,3,0,0
mRNA36116,3,0,0
mRNA36117,3,0,0
mRNA36118,3,0,0
mRNA36119,2,1,1
mRNA36120,2,1,1
mRNA36121,0,0,0
mRNA36122,0,0,0
mRNA36123,0,0,0
mRNA36124,0,0,0
mRNA36125,1,124,130
mRNA36126,1,123,130
mRNA36127,1,92,105
mRNA36128,0,0,0
mRNA36129,0,0,0
mRNA36130,113,253,52
mRNA36131,113,253,52
mRNA36132,113,253,52
mRNA36133,113,253,52
mRNA36134,113,253,52
mRNA36135,113,253,52
mRNA36136,113,253,52
mRNA36137,113,253,52
mRNA36138,113,253,52
mRNA36139,0,0,34
mRNA36140,0,0,135
mRNA36141,0,0,135
mRNA36142,0,0,135
mRNA36143,0,0,135
mRNA36144,0,0,135
mRNA36145,0,0,135
mRNA36146,0,0,135
mRNA36147,0,0,135
mRNA36148,0,0,135
mRNA36149,0,0,135
mRNA36150,0,0,135
mRNA36151,0,0,135
mRNA36152,0,0,135
mRNA36153,0,0,0
mRNA36154,0,0,0
mRNA36155,0,0,0
mRNA36156,419,1834,4031
mRNA36157,419,1834,4031
mRNA36158,0,0,0
mRNA36159,76,985,2295
mRNA36160,76,985,2295
mRNA36161,76,985,2295
mRNA36162,76,985,2295
mRNA36163,76,985,2295
mRNA36164,76,985,2295
mRNA36165,76,985,2295
mRNA36166,76,985,2295
mRNA36167,129,5,486
mRNA36168,235,965,1572
mRNA36169,235,965,1572
mRNA36170,214,844,1250
mRNA36171,31,173,435
mRNA36172,588,0,228
mRNA36173,675,0,247
mRNA36174,0,0,0
mRNA36175,0,0,0
mRNA36176,0,0,0
mRNA36177,0,0,0
mRNA36178,0,0,0
mRNA36179,0,0,0
mRNA36180,0,0,0
mRNA36181,0,0,0
mRNA36182,0,0,0
mRNA36183,0,0,0
mRNA36184,0,0,0
mRNA36185,0,0,0
mRNA36186,0,0,0
mRNA36187,0,0,3
mRNA36188,0,0,2
mRNA36189,0,0,159
mRNA36190,0,0,0
mRNA36191,0,0,0
mRNA36192,0,0,0
mRNA36193,0,0,0
mRNA36194,0,0,0
mRNA36195,0,0,0
mRNA36196,0,0,0
mRNA36197,0,0,0
mRNA36198,0,0,0
mRNA36199,0,0,0
mRNA36200,0,0,0
mRNA36201,0,0,0
mRNA36202,0,0,0
mRNA36203,10,0,0
mRNA36204,10,0,0
mRNA36205,10,0,0
mRNA36206,10,0,0
mRNA36207,10,0,0
mRNA36208,1,0,0
mRNA36209,1,0,0
mRNA36210,1,0,0
mRNA36211,1,0,0
mRNA36212,1,0,0
mRNA36213,0,0,0
mRNA36214,0,0,0
mRNA36215,0,0,0
mRNA36216,8,2,10
mRNA36217,8,2,10
mRNA36218,7,2,10
mRNA36219,8,2,10
mRNA36220,8,2,11
mRNA36221,8,2,11
mRNA36222,8,2,11
mRNA36223,8,2,10
mRNA36224,8,2,10
mRNA36225,8,2,10
mRNA36226,8,2,10
mRNA36227,7,2,10
mRNA36228,7,2,10
mRNA36229,7,2,10
mRNA36230,7,2,10
mRNA36231,7,2,10
mRNA36232,7,2,10
mRNA36233,3,2,9
mRNA36234,8,2,1
mRNA36235,6,2,1
mRNA36236,125,0,2
mRNA36237,125,0,2
mRNA36238,125,0,2
mRNA36239,125,0,2
mRNA36240,125,0,2
mRNA36241,21,0,2
mRNA36242,125,0,2
mRNA36243,125,0,2
mRNA36244,125,0,2
mRNA36245,125,0,2
mRNA36246,125,0,2
mRNA36247,125,0,2
mRNA36248,125,0,2
mRNA36249,125,0,2
mRNA36250,125,0,2
mRNA36251,125,0,2
mRNA36252,125,0,2
mRNA36253,125,0,2
mRNA36254,125,0,2
mRNA36255,125,0,2
mRNA36256,125,0,2
mRNA36257,125,0,2
mRNA36258,78,0,2
mRNA36259,73,0,2
mRNA36260,121,0,2
mRNA36261,104,0,0
mRNA36262,3,0,413
mRNA36263,3,0,413
mRNA36264,3,0,413
mRNA36265,3,0,413
mRNA36266,2,0,413
mRNA36267,54,714,339
mRNA36268,54,714,339
mRNA36269,54,714,339
mRNA36270,54,714,339
mRNA36271,54,714,339
mRNA36272,54,714,339
mRNA36273,54,714,339
mRNA36274,23,658,84
mRNA36275,23,658,83
mRNA36276,54,714,339
mRNA36277,54,714,339
mRNA36278,54,708,334
mRNA36279,54,708,332
mRNA36280,52,692,268
mRNA36281,31,617,258
mRNA36282,31,56,256
mRNA36283,0,496,1
mRNA36284,0,496,1
mRNA36285,663,2427,2134
mRNA36286,663,2427,2134
mRNA36287,414,1469,1046
mRNA36288,46,0,0
mRNA36289,508,2,3871
mRNA36290,46,0,101
mRNA36291,46,0,101
mRNA36292,46,0,101
mRNA36293,46,0,101
mRNA36294,76,0,516
mRNA36295,0,0,0
mRNA36296,0,0,0
mRNA36297,0,0,0
mRNA36298,0,0,0
mRNA36299,0,0,0
mRNA36300,0,0,0
mRNA36301,76,0,516
mRNA36302,76,0,516
mRNA36303,153,1,687
mRNA36304,153,1,687
mRNA36305,153,1,687
mRNA36306,153,1,687
mRNA36307,152,0,524
mRNA36308,153,1,687
mRNA36309,153,1,687
mRNA36310,146,1,661
mRNA36311,96,1,551
mRNA36312,43,2,361
mRNA36313,43,2,361
mRNA36314,43,2,361
mRNA36315,43,2,356
mRNA36316,43,2,358
mRNA36317,43,2,355
mRNA36318,41,34,130
mRNA36319,41,34,130
mRNA36320,41,34,130
mRNA36321,23,19,87
mRNA36322,41,34,130
mRNA36323,40,33,122
mRNA36324,40,33,122
mRNA36325,40,33,122
mRNA36326,40,33,122
mRNA36327,40,33,122
mRNA36328,349,434,1278
mRNA36329,349,434,1278
mRNA36330,349,434,1278
mRNA36331,349,434,1278
mRNA36332,98,104,402
mRNA36333,0,0,1
mRNA36334,0,0,1
mRNA36335,0,0,1
mRNA36336,0,0,1
mRNA36337,0,0,1
mRNA36338,0,0,1
mRNA36339,0,0,1
mRNA36340,0,0,1
mRNA36341,0,0,1
mRNA36342,0,0,1
mRNA36343,0,0,1
mRNA36344,0,0,1
mRNA36345,0,0,1
mRNA36346,0,0,1
mRNA36347,0,0,1
mRNA36348,0,0,1
mRNA36349,0,0,1
mRNA36350,340,727,0
mRNA36351,340,727,0
mRNA36352,340,727,0
mRNA36353,340,727,0
mRNA36354,48,0,128
mRNA36355,48,0,128
mRNA36356,48,0,128
mRNA36357,48,0,128
mRNA36358,48,0,128
mRNA36359,48,0,128
mRNA36360,48,0,128
mRNA36361,48,0,128
mRNA36362,48,0,128
mRNA36363,48,0,128
mRNA36364,48,0,128
mRNA36365,48,0,128
mRNA36366,48,0,128
mRNA36367,0,0,118
mRNA36368,0,0,118
mRNA36369,48,0,128
mRNA36370,48,0,10
mRNA36371,95,16,237
mRNA36372,91,41,279
mRNA36373,91,41,279
mRNA36374,90,41,268
mRNA36375,0,0,0
mRNA36376,0,0,0
mRNA36377,0,0,0
mRNA36378,0,0,0
mRNA36379,0,0,0
mRNA36380,0,0,0
mRNA36381,0,0,0
mRNA36382,0,0,0
mRNA36383,0,0,0
mRNA36384,0,0,0
mRNA36385,0,0,0
mRNA36386,0,0,0
mRNA36387,0,0,0
mRNA36388,0,0,0
mRNA36389,0,0,0
mRNA36390,0,0,0
mRNA36391,0,0,0
mRNA36392,0,0,0
mRNA36393,0,0,0
mRNA36394,0,0,0
mRNA36395,0,0,0
mRNA36396,0,0,0
mRNA36397,0,0,0
mRNA36398,0,0,0
mRNA36399,0,0,0
mRNA36400,0,0,0
mRNA36401,0,0,0
mRNA36402,0,0,0
mRNA36403,1,0,0
mRNA36404,1,0,0
mRNA36405,1,0,0
mRNA36406,1,0,0
mRNA36407,68,0,44
mRNA36408,68,0,44
mRNA36409,68,0,44
mRNA36410,68,0,44
mRNA36411,68,0,44
mRNA36412,68,0,44
mRNA36413,68,0,44
mRNA36414,68,0,44
mRNA36415,414,316,1342
mRNA36416,414,316,1342
mRNA36417,414,316,1342
mRNA36418,549,529,2014
mRNA36419,549,529,2014
mRNA36420,0,93,1
mRNA36421,202,278,153
mRNA36422,202,278,153
mRNA36423,338,252,120
mRNA36424,338,252,120
mRNA36425,338,252,120
mRNA36426,338,252,120
mRNA36427,338,252,120
mRNA36428,338,252,120
mRNA36429,338,252,120
mRNA36430,338,252,120
mRNA36431,338,252,120
mRNA36432,338,252,120
mRNA36433,338,252,120
mRNA36434,338,252,120
mRNA36435,338,252,120
mRNA36436,332,252,120
mRNA36437,332,252,120
mRNA36438,332,252,120
mRNA36439,332,252,120
mRNA36440,311,252,120
mRNA36441,253,252,58
mRNA36442,205,79,62
mRNA36443,205,0,62
mRNA36444,205,0,62
mRNA36445,85,0,62
mRNA36446,85,0,62
mRNA36447,10,7,11
mRNA36448,10,7,11
mRNA36449,10,7,11
mRNA36450,10,7,11
mRNA36451,10,7,11
mRNA36452,10,7,11
mRNA36453,10,7,11
mRNA36454,10,7,11
mRNA36455,10,7,11
mRNA36456,10,7,11
mRNA36457,10,7,11
mRNA36458,0,0,31
mRNA36459,0,0,0
mRNA36460,0,0,0
mRNA36461,1,259,6
mRNA36462,1,259,6
mRNA36463,1,259,6
mRNA36464,1,252,6
mRNA36465,0,24,41
mRNA36466,75,5,12
mRNA36467,3,1,1
mRNA36468,3,1,1
mRNA36469,3,1,1
mRNA36470,3,1,1
mRNA36471,3,1,1
mRNA36472,3,1,1
mRNA36473,3,1,1
mRNA36474,3,1,1
mRNA36475,0,0,0
mRNA36476,0,0,0
mRNA36477,0,0,0
mRNA36478,0,0,0
mRNA36479,0,0,0
mRNA36480,0,0,0
mRNA36481,53,115,48
mRNA36482,53,115,48
mRNA36483,0,0,1
mRNA36484,0,0,1
mRNA36485,16,0,86
mRNA36486,16,0,86
mRNA36487,16,0,86
mRNA36488,16,0,86
mRNA36489,16,0,86
mRNA36490,16,0,86
mRNA36491,16,0,86
mRNA36492,16,0,79
mRNA36493,16,0,69
mRNA36494,16,0,66
mRNA36495,16,0,64
mRNA36496,244,244,120
mRNA36497,244,244,120
mRNA36498,244,244,120
mRNA36499,244,244,120
mRNA36500,244,244,120
mRNA36501,244,244,120
mRNA36502,235,244,120
mRNA36503,235,244,120
mRNA36504,235,244,120
mRNA36505,235,244,120
mRNA36506,235,244,120
mRNA36507,235,244,120
mRNA36508,235,244,120
mRNA36509,235,244,120
mRNA36510,235,244,120
mRNA36511,235,244,120
mRNA36512,235,244,120
mRNA36513,235,244,120
mRNA36514,235,244,120
mRNA36515,235,244,120
mRNA36516,235,244,120
mRNA36517,235,244,120
mRNA36518,235,244,120
mRNA36519,235,244,120
mRNA36520,235,244,120
mRNA36521,235,244,120
mRNA36522,235,244,120
mRNA36523,235,244,120
mRNA36524,235,244,120
mRNA36525,235,244,120
mRNA36526,235,244,120
mRNA36527,233,239,115
mRNA36528,233,239,115
mRNA36529,0,0,0
mRNA36530,0,0,0
mRNA36531,0,0,0
mRNA36532,0,0,0
mRNA36533,0,0,0
mRNA36534,380,3,387
mRNA36535,380,3,387
mRNA36536,380,3,387
mRNA36537,380,3,387
mRNA36538,380,3,387
mRNA36539,380,3,387
mRNA36540,380,3,387
mRNA36541,380,3,387
mRNA36542,380,3,387
mRNA36543,380,3,387
mRNA36544,380,3,387
mRNA36545,380,3,387
mRNA36546,378,3,384
mRNA36547,22,0,21
mRNA36548,0,0,0
mRNA36549,49,264,547
mRNA36550,49,271,566
mRNA36551,49,271,566
mRNA36552,49,264,547
mRNA36553,49,264,547
